crs,adt,count,sum
12191,15250,1,492658
12191,16010,5,401398
12191,43030,55,3560015
12191,43081,2,5540
12191,51010,4,764940
12191,73010,1,281635
12191,91010,5,278186
12191,92005,23,15059002
12191,92030,6,112881
12191,99810,111,13837781
12220,11105,3,144817
12220,12191,1,32
12220,13010,2,28680
12220,15110,31,5643431
12220,15140,4,43007
12220,15150,20,425051
12220,15205,1,402118
12220,16010,77,3136158
12220,16050,1,182034
12220,24030,2,13878
12220,25010,45,1052096
12220,43030,75,6101048
12220,51010,3,323526
12220,72010,5,2556851
12220,73010,4,1363395
12220,91010,6,264288
12220,92005,33,7033595
12220,92030,9,454780
12220,99810,866,231520813
12230,11420,1,20275
12230,13010,1,1850
12230,15110,2,300957
12230,15120,1,2704
12230,15150,1,115251
12230,15205,1,89523
12230,43030,68,3821862
12230,51010,6,283757
12230,91010,11,1155393
12230,92005,18,3040134
12230,92030,5,75822
12230,99810,22,1397646
12240,15110,1,4759789
12240,16010,4,781404
12240,16050,1,132287
12240,43030,55,2513363
12240,43081,1,573
12240,92005,7,3265137
12240,92030,1,19706
12240,99810,17,2050429
12250,13040,1,2418139
12250,15110,1,93654
12250,43030,16,274730
12250,51010,9,1624728
12250,91010,2,3148
12250,92005,5,1803456
12250,92020,1,37920
12250,92030,2,38535
12250,99810,192,44985797
12261,11105,2,21842
12261,13020,1,11085
12261,15110,3,381452
12261,16010,1,10181
12261,16050,1,73142
12261,31120,1,19422
12261,43030,30,1829666
12261,43081,1,80559
12261,51010,16,998832
12261,91010,4,62164
12261,92005,7,1117504
12261,92030,3,38239
12261,99810,29,2276103
12262,43030,8,212459
12262,99810,15,4652483
12263,43030,9,760931
12263,99810,49,14549710
12281,11105,21,687113
12281,11420,2,9720
12281,12105,3,34113
12281,15110,6,1678572
12281,16010,6,43589
12281,43030,23,435337
12281,43081,2,70664
12281,51010,12,1895500
12281,92005,2,85639
12281,92030,1,10838
12281,99810,34,2205119
13010,11105,1,14611
13010,11420,6,109536
13010,13010,24,20654969
13010,15100,1,1988321
13010,15110,1,63502
13010,15130,2,132026
13010,15140,1,169909
13010,15150,10,2235691
13010,15205,2,141228
13010,16010,21,6228640
13010,16020,1,7140
13010,24030,1,19859
13010,42010,2,73524
13010,43010,31,6837864
13010,43030,2,90266
13010,51010,1,65987
13010,72010,3,132854
13010,91010,9,372726
13010,92005,1,134918
13010,92030,1,15162
13010,99810,310,33031920
13020,13020,25,1347241
13020,15110,2,108663
13020,15150,1,67552
13020,16010,2,110239
13020,24030,2,44149
13020,43030,44,3694705
13020,43040,1,20665
13020,43081,1,3419419
13020,51010,14,1779185
13020,92005,3,587553
13020,99810,256,58575931
13030,13010,7,40241381
13030,13030,1,395640
13030,15150,31,4497545
13030,16010,28,3520674
13030,43030,3,469747
13030,51010,12,1538704
13030,99810,19,1657440
13040,11105,5,578874
13040,13040,3,1916363
13040,15110,29,23367518
13040,15140,5,997722
13040,15150,3,872077
13040,16010,60,1039508
13040,25010,45,1521492
13040,43010,1,609605
13040,43030,30,2755548
13040,43081,2,626188
13040,51010,33,6769493
13040,91010,2,48239
13040,92005,5,1993639
13040,92020,1,50805
13040,92030,3,49913
13040,99810,266,60587627
13081,13020,1,280187
13081,15110,1,280499
13081,15150,2,15873
13081,43030,5,159655
13081,51010,1,238870
13081,92005,2,218330
13081,99810,5,422600
14010,11105,5,16353
14010,13010,1,23129
14010,15110,3,342857
14010,15140,2,914167
14010,15150,2,72912
14010,16010,2,148990
14010,24030,4,26830
14010,41010,1,1078412
14010,43030,14,949244
14010,43081,1,98
14010,43082,3,303103
14010,51010,4,899285
14010,72010,2,1444280
14010,73010,3,1090431
14010,91010,5,71771
14010,92005,3,743191
14010,92030,1,7221
14010,99810,195,31071714
14015,24030,1,1986
14015,43030,1,17711
14015,43082,23,3610593
14015,51010,2,147749
14015,91010,9,4042939
14015,92005,2,262656
14015,99810,106,19685992
14020,14020,1,9365274
14020,15110,4,501664
14020,16010,3,94158
14020,43030,18,1907922
14020,43082,2,31481
14020,51010,11,1209200
14020,91010,5,324704
14020,92005,4,1612811
14020,92030,1,20795
14020,99810,514,144896997
14021,99810,178,58241603
14022,99810,65,13552923
14030,11105,3,251848
14030,13010,1,27755
14030,14020,611,3552458271
14030,14081,2,68803
14030,15110,8,1738689
14030,15150,1,146867
14030,16010,2,552979
14030,16050,1,236513
14030,24030,10,219267
14030,32310,1,13604
14030,43030,82,11396359
14030,51010,38,6049604
14030,72010,1,108309
14030,73010,3,1233415
14030,91010,2,105247
14030,92005,21,4481914
14030,92030,10,200457
14030,99810,94,10611491
14031,99810,5,2116295
14040,43030,4,331756
14040,51010,3,508177
14040,91010,5,108300
14040,92030,2,17150
14040,99810,514,173826165
14050,11105,1,8070
14050,15110,4,803780
14050,15205,1,303070
14050,43030,14,1463951
14050,51010,11,1732577
14050,73010,1,433284
14050,91010,8,320076
14050,92005,2,453941
14050,92030,3,68361
14050,99810,574,89224470
14081,11105,1,311336
14081,11420,1,7997
14081,15110,2,137601
14081,15140,2,20406
14081,43030,8,150341
14081,43081,3,19645
14081,51010,3,350558
14081,91010,1,54117
14081,92005,3,2489388
14081,92030,1,14291
14081,99810,13,348906
15110,11000,1,16291
15110,11105,67,46239391
15110,11110,17,26789769
15110,11120,135,59618023
15110,11130,4,264647
15110,11220,4,22955174
15110,11230,2,29480
15110,11240,1,20839
15110,11320,24,35075832
15110,11330,36,5681293
15110,11420,99,23813413
15110,11430,54,26624768
15110,12000,3,181521
15110,12005,1,20154846
15110,12110,13,2963158
15110,12191,3,62624033
15110,12220,5,2148190
15110,12230,5,305235
15110,12240,1,1390596
15110,12261,1,141279
15110,13005,4,7233563
15110,13010,165,165876935
15110,13040,35,12811612
15110,13081,1,226620
15110,14000,1,37132
15110,14005,6,8404223
15110,14010,11,18590407
15110,14015,1,642141
15110,14020,10,5126737
15110,14030,2,1453939
15110,14040,4,1120631
15110,14050,8,920869
15110,14081,2,35242
15110,14082,1,28701
15110,15000,92,105906038
15110,15100,966,1996131421
15110,15105,453,677312584
15110,15110,7667,10035869612
15110,15120,863,1004709937
15110,15130,1772,3679470218
15110,15140,8357,10176154594
15110,15150,2538,2192759879
15110,15205,154,174025422
15110,15210,412,1221320001
15110,15220,168,109047617
15110,15230,35,121058747
15110,15240,46,102379406
15110,15250,16,8807409
15110,15261,3,1142595
15110,16010,602,501229362
15110,16020,89,77089453
15110,16030,23,55879150
15110,16050,289,242021807
15110,16081,9,691602
15110,21000,2,9464696
15110,21005,4,1461723
15110,21010,19,14879108
15110,21020,70,10491241
15110,21030,3,1675650
15110,21040,8,2406912
15110,21050,9,2804404
15110,21081,1,66617
15110,22005,8,233207
15110,22010,26,6216327
15110,22020,20,48433489
15110,22030,36,8094614
15110,22040,90,36739143
15110,22081,6,725089
15110,23000,1,26844
15110,23005,2,744923
15110,23010,12,94679570
15110,23020,4,4391960
15110,23030,2,173110
15110,23040,2,164390
15110,23050,4,25314162
15110,23081,2,1314653
15110,23082,3,463042
15110,24000,1,72914
15110,24005,8,2372490
15110,24010,49,666295833
15110,24020,5,1256858
15110,24030,113,16684035
15110,24040,17,10459160
15110,24081,7,3218482
15110,25010,275,545517405
15110,25020,34,79347132
15110,25081,1,317494
15110,31100,1,462309
15110,31105,8,2433896
15110,31110,34,32752640
15110,31120,27,7491905
15110,31130,21,22100925
15110,31140,4,847785
15110,31150,1,258601
15110,31181,1,1394
15110,31182,6,583526
15110,31191,5,1067041
15110,31205,1,4664
15110,31210,4,3890086
15110,31220,2,224007
15110,31282,2,514262
15110,31310,1,25126
15110,31320,6,747167
15110,32105,4,662622
15110,32110,12,1388048
15110,32120,22,29611097
15110,32130,2,703365
